resident_id,apartment_id,resident_name,gender,age,occupation,phone,email,move_in_date,resident_type,dataset_version
res-00001,t01-f01-u01,suresh das,other,67,banker,9714758692.0,suresh.das1@gmail.com,2025-03-31,owner,v1.0.0
res-00002,t01-f01-u01,ananya iyer,female,81,retired,9971295506.0,ananya.iyer2@gmail.com,2017-10-06,tenant,v1.0.0
res-00003,t01-f01-u03,suresh reddy,other,56,homemaker,9568141917.0,suresh.reddy3@gmail.com,2024-01-30,owner,v1.0.0
res-00004,t01-f01-u03,rahul rao,male,54,consultant,9151036409.0,rahul.rao4@gmail.com,2023-01-04,tenant,v1.0.0
res-00005,t01-f01-u07,rohan iyer,other,29,homemaker,9201719440.0,rohan.iyer5@gmail.com,2019-09-15,owner,v1.0.0
res-00006,t01-f02-u01,suresh gupta,male,90,retired,9610315526.0,invalid-email-format,2021-07-21,owner,v1.0.0
res-00007,t01-f02-u01,lakshmi patel,other,56,retired,9963424487.0,lakshmi.patel7@gmail.com,2022-12-24,owner,v1.0.0
res-00008,t01-f02-u01,suresh iyer,female,69,consultant,9771049849.0,suresh.iyer8@gmail.com,2020-07-25,tenant,v1.0.0
res-00009,t01-f02-u01,sneha sharma,other,84,teacher,9719380774.0,sneha.sharma9@gmail.com,2020-09-29,tenant,v1.0.0
res-00010,t01-f02-u02,vikram khan,female,86,homemaker,9925835412.0,vikram.khan10@gmail.com,2016-03-04,owner,v1.0.0
res-00011,t01-f02-u03,isha menon,other,25,retired,9315444177.0,isha.menon11@gmail.com,2022-04-04,owner,v1.0.0
res-00012,t01-f02-u03,karthik iyer,male,56,architect,9540513606.0,karthik.iyer12@gmail.com,2022-10-08,tenant,v1.0.0
res-00013,t01-f02-u03,vikram das,female,54,sales manager,9272426088.0,vikram.das13@gmail.com,2023-06-20,owner,v1.0.0
res-00014,t01-f02-u04,deepa das,male,32,teacher,9306068248.0,deepa.das14@gmail.com,2026-01-12,owner,v1.0.0
res-00015,t01-f02-u04,meera khan,female,89,architect,9553139585.0,meera.khan15@gmail.com,2019-02-02,owner,v1.0.0
res-00016,t01-f02-u04,vikram reddy,female,35,software engineer,9377451497.0,vikram.reddy16@gmail.com,2030-01-01,owner,v1.0.0
res-00017,t01-f02-u04,sneha sharma,other,80,software engineer,9159407206.0,sneha.sharma17@gmail.com,2016-09-14,tenant,v1.0.0
res-00018,t01-f02-u05,rahul nair,other,56,doctor,9537020273.0,rahul.nair18@gmail.com,2016-04-14,owner,v1.0.0
res-00019,t01-f02-u05,rahul das,other,35,business owner,9220186460.0,rahul.das19@gmail.com,2019-12-10,tenant,v1.0.0
res-00020,t01-f02-u06,ananya rao,other,85,consultant,9633060309.0,ananya.rao20@gmail.com,2016-06-03,owner,v1.0.0
res-00021,t01-f02-u06,deepa menon,male,58,banker,9989308449.0,deepa.menon21@gmail.com,2019-10-16,owner,v1.0.0
res-00022,t01-f02-u06,deepa das,male,36,doctor,9288070455.0,deepa.das22@gmail.com,2023-12-11,tenant,v1.0.0
res-00023,t01-f02-u06,amit das,female,25,lawyer,9672809021.0,amit.das23@gmail.com,2022-02-21,tenant,v1.0.0
