resident_id,apartment_id,resident_name,gender,age,occupation,phone,email,move_in_date,resident_type,dataset_version
RES-00001,T01-F01-U01,Suresh Das,Other,67,Banker,9714758692.0,suresh.das1@gmail.com,2025-03-31,Owner,v1.0.0
RES-00002,T01-F01-U01,Ananya Iyer,Female,81,Retired,9971295506.0,ananya.iyer2@gmail.com,2017-10-06,Tenant,v1.0.0
RES-00003,T01-F01-U03,Suresh Reddy,Other,56,,9568141917.0,suresh.reddy3@gmail.com,2024-01-30,Owner,v1.0.0
RES-00004,T01-F01-U03,Rahul Rao,Male,54,Consultant,9151036409.0,rahul.rao4@gmail.com,2023-01-04,Tenant,v1.0.0
RES-00005,T01-F01-U07,Rohan Iyer,Other,29,Homemaker,9201719440.0,rohan.iyer5@gmail.com,2019-09-15,Owner,v1.0.0
RES-00006,T01-F02-U01,Suresh Gupta,Male,90,Retired,9610315526.0,invalid@email.com,2021-07-21,Owner,v1.0.0
RES-00007,T01-F02-U01,Lakshmi Patel,Other,56,Retired,9963424487.0,lakshmi.patel7@gmail.com,2022-12-24,Owner,v1.0.0
RES-00008,T01-F02-U01,Suresh Iyer,Female,69,Consultant,9771049849.0,suresh.iyer8@gmail.com,2020-07-25,Tenant,v1.0.0
RES-00009,T01-F02-U01,Sneha Sharma,Other,84,Teacher,9719380774.0,sneha.sharma9@gmail.com,2020-09-29,Tenant,v1.0.0
RES-00010,T01-F02-U02,Vikram Khan,Female,86,Homemaker,9925835412.0,vikram.khan10@gmail.com,2016-03-04,Owner,v1.0.0
RES-00011,T01-F02-U03,Isha Menon,Other,25,Retired,9315444177.0,isha.menon11@gmail.com,2022-04-04,Owner,v1.0.0
RES-00012,T01-F02-U03,Karthik Iyer,Male,56,Architect,9540513606.0,karthik.iyer12@gmail.com,2022-10-08,Tenant,v1.0.0
RES-00013,T01-F02-U03,Vikram Das,Female,54,Sales Manager,9272426088.0,vikram.das13@gmail.com,2023-06-20,Owner,v1.0.0
RES-00014,T01-F02-U04,Deepa Das,Male,32,Teacher,9306068248.0,deepa.das14@gmail.com,2026-01-12,Owner,v1.0.0
RES-00015,T01-F02-U04,Meera Khan,,89,Architect,9553139585.0,meera.khan15@gmail.com,2019-02-02,Owner,v1.0.0
RES-00016,T01-F02-U04,Vikram Reddy,Female,35,Software Engineer,9377451497.0,vikram.reddy16@gmail.com,2030-01-01,Owner,v1.0.0
RES-00017,T01-F02-U04,Sneha Sharma,Other,80,Software Engineer,9159407206.0,sneha.sharma17@gmail.com,2016-09-14,Tenant,v1.0.0
RES-00018,T01-F02-U05,Rahul Nair,Other,56,Doctor,9537020273.0,rahul.nair18@gmail.com,2016-04-14,Owner,v1.0.0
RES-00019,T01-F02-U05,Rahul Das,Other,35,Business Owner,9220186460.0,rahul.das19@gmail.com,2019-12-10,Tenant,v1.0.0
RES-00020,T01-F02-U06,Ananya Rao,Other,85,Consultant,9633060309.0,ananya.rao20@gmail.com,2016-06-03,Owner,v1.0.0
RES-00021,T01-F02-U06,Deepa Menon,Male,58,Banker,9993712000.0,deepa.menon21@gmail.com,2019-10-16,Owner,v1.0.0
RES-00022,T01-F02-U06,Deepa Das,Male,36,Doctor,9288070455.0,deepa.das22@gmail.com,2023-12-11,Tenant,v1.0.0
